[3/13/2026 8:23 AM] Leon AI Assistant: Property Name,Address,City,Submarket,Unit Count,Year Built
13085 MORRIS RD,13085 MORRIS RD,Atlanta,,554,
131 PONCE DE LEON AVE NE,131 PONCE DE LEON AVE NE,Atlanta,,280,
1311 EAST CLEVELAND AVE,1311 EAST CLEVELAND AVE,Atlanta,,101,
13125 MORRIS RD,13125 MORRIS RD,Atlanta,,478,
1314 DONALD LEE HOLLOWELL PKWY NW,1314 DONALD LEE HOLLOWELL PKWY NW,Atlanta,,182,
1315 NORTHWEST DR NW,1315 NORTHWEST DR NW,Atlanta,,286,
13200 SUMMIT BLVD,13200 SUMMIT BLVD,Atlanta,,292,
13201 DEERFIELD PKY,13201 DEERFIELD PKY,Atlanta,,356,
1325 NORTH POINT DR,1325 NORTH POINT DR,Atlanta,,120,
1325 VIRGINIA AVE,1325 VIRGINIA AVE,Atlanta,,378,
133 CARNEGIE WAY NW,133 CARNEGIE WAY NW,Atlanta,,150,
1330 FAIRMONT AVE NW,1330 FAIRMONT AVE NW,Atlanta,,340,
13381 GREENBRIAR PKWY SW,13381 GREENBRIAR PKWY SW,Atlanta,,166,
1340 WEST PEACHTREE ST,1340 WEST PEACHTREE ST,Atlanta,,230,
1350 TOWER HILL ST NW,1350 TOWER HILL ST NW,Atlanta,,189,
1359 STATE ST,1359 STATE ST,Atlanta,,181,
1365 PEACHTREE ST NE,1365 PEACHTREE ST NE,Atlanta,,160,
13700 STATE HIGHWAY 9,13700 STATE HIGHWAY 9,Atlanta,,197,
1371 KIMBERLY RD SW,1371 KIMBERLY RD SW,Atlanta,,125,
1374 MURPHY AVE SW,1374 MURPHY AVE SW,Atlanta,,162,
1375 NORTHSIDE DR NW,1375 NORTHSIDE DR NW,Atlanta,,150,
1380 VIRGINIA AVE,1380 VIRGINIA AVE,Atlanta,,330,
1382 PEACHTREE ST NE,1382 PEACHTREE ST NE,Atlanta,,281,
1390 NORTHSIDE DR NW,1390 NORTHSIDE DR NW,Atlanta,,181,
1391 COLLIER RD,1391 COLLIER RD,Atlanta,,184,
140 PINE ST NE,140 PINE ST NE,Atlanta,,164,
1400 WEST PEACHTREE ST RM,1400 WEST PEACHTREE ST RM,Atlanta,,328,
1401 PACES FERRY RD NW,1401 PACES FERRY RD NW,Atlanta,,337,
1405 SPRING ST,1405 SPRING ST,Atlanta,,326,
141 PIEDMONT AVE NE,141 PIEDMONT AVE NE,Atlanta,,999,
1419 VIRGINIA AVE,1419 VIRGINIA AVE,Atlanta,,224,
144 ALLEN RD,144 ALLEN RD,Atlanta,,100,
144 JUNIPER ST,144 JUNIPER ST,Atlanta,,184,
144 MORELAND AVE NE,144 MORELAND AVE NE,Atlanta,,285,
1441 PEACHTREE ST,1441 PEACHTREE ST,Atlanta,,350,
145 PEACHTREE PARK DR NE,145 PEACHTREE PARK DR NE,Atlanta,,302,
1450 RAINTREE WAY,1450 RAINTREE WAY,Atlanta,,312,
1465 MID BROADWELL RD,1465 MID BROADWELL RD,Atlanta,,100,
1475 BOAT ROCK RD,1475 BOAT ROCK RD,Atlanta,,350,
