ParcelId,Address,City,State,ZIP,County,MSA,Submarket,YearBuilt,YearRenovated,AssetClass,Stories,ConstructionType,PropertyType,UnitCount,AvgUnitSqft,NetRentableSqft,ParkingType,ParkingRatio,LotSizeAcres,ManagementCompany,Notes,DataConfidence,SourceFiles
Lofts at Weston,2015 Operating Statement_Lofts at Weston Lakeside,Weston,FL,,,"Miami-Fort Lauderdale-West Palm Beach, FL",,,,,,concrete,,,,,Garage,,,FE,,medium,2015 Operating Statement_Lofts at Weston Lakeside.xlsx; 2016 Operating Statement_Lofts at Weston.xlsx; 2017 Operating Statement_Lofts at Weston Lakeside.xlsx; 2018 Rolling (0717-0618)_Lofts at Weston Lakeside.xlsx; 2018 Rolling (0817-0718)_Lofts at Weston - modified.xls
Lucent,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2023,,,,concrete,high-rise,,,,,,,,,medium,Lucent OM.pdf
Luxary Apartments at Foxwood,,,,,,,,,,,,,,,,,,,,,,none,
MAdison Farms,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2022,,,,,,,,,,,,Fee Insuran,,medium,BoxScoreSummary_2022.07.13_Madison Farms.xlsx; ConcessionBurnOff_2022.06.22_MadisonFarms.xlsx; Madison Farms OM.pdf; Madison Farms Other Income.xlsx; RentableItemsDirectory_2022.06.22_MadisonFarms.xlsx
Magnolia Vinings,,,,,,,,,,,,,,,,,,,,,,none,
Manor 6 forks,,Raleigh,NC,,,"Raleigh-Durham-Chapel Hill, NC",,,,,,,,,,,Garage,,,PAYRO,,medium,Historical_20190619130621 - Manor 6 Forks.xls; ManorSixForks_OM (1).pdf; NEW_Rent Roll_2019.06.10_Manor Six Forks.xls; NEW_T12_2019.05_Manor Six Forks.xls; NEW_T12_2019.05_Manor Six Forks.xlsx
Matthews Reserve,,Matthews,NC,NC,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,,,,,,,Fee Payro,,medium,2018_1Q_Charlotte_Market Performance Summary.pdf; cash flow after debt service .xls; Deal summary .xls; Forecast .xls; Matthews Reserve Axio.pdf
Mercer Park,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Mercer Park Pro Forma.pdf; Mercer Park.xlsx
Mira Flores,,Atlanta,GA,GH,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Mira_Flores_Pages.pdf; Mira_Flores_Spreads (1).pdf
Mirabella Lakes,2019 FINAL,Miami,FL,,,"Miami-Fort Lauderdale-West Palm Beach, FL",,2022,,,,,Garden,,,,Garage,,,Fe,,medium,Historical_20190702163134 - Mirabella .xls; Mirabella 6.25.19.xls; Mirabella at Waterford Lakes (Orlando FL) OM - 2019 FINAL.pdf; Mirabella T-12 5.31.19.xlsx; Mirabella T-12 6.28.19 - techno.xls
Modena,12 Month Trailing Modena - Modified ,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,6620,,,,,,COVERED,,,FE,,medium,02.18 12 Month Trailing Modena - Modified .xls; 02.18 12 Month Trailing Modena.xlsx; Modena - Rent Roll - 3.22.18.xls; Modena - Underwritng report .pdf; Modena Rent Roll 2.1.18.pdf
Morningside,12 Income Statement (2021.10),Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,2050 - Fee Sheet (2021).pdf; 2050 - Hunsucker Appeal (2021).pdf; 2050 - Ren Roll (2021.11.15) RedIQ.xlsx; 2050 - Rent Roll (2021.11.30)_RedIQ.xlsx; 2050 - Rent Roll with Lease Charges (2021.11.30).xlsx
New folder,,,,,,,,,,,,,,,,,,,,,,none,
Novel Research Park,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2022,,,,,,,,,,,,,,medium,JLL Novel Research Park Debt Memo 09-02-20.pdf; JLL Novel Research Park Debt Memo 09-15-20.pdf
Novel Upper Westside,2021 techno,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2023,,,,,,1411,,,,,,,,medium,All+Units.pdf; Boxscore.pdf; Concessions.pdf; Novel Other Income.xlsx; Novel Upper Westside Payroll .xls
Oasis - Dania Pointe,,Dania Beach,FL,,,"Miami-Fort Lauderdale-West Palm Beach, FL",,,,,,,,,,,,,,,,medium,Oasis - Dania Pointe Rent Roll v1.xls
Octave Apartments,,,,,,,,,,,,,,,,,,,,,,none,
PGA Development,,,,,,,,,,,,,,70,,,,,,,,low,PGA Development .xls
Paces Brook,12 Income Statement (2019.07.31) - techno,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,1984,,,,,,2019,,,,,,FEE Manageme,,medium,Historical_20190823153146 - Paces Brook.xls; Paces Brook - Offering Memorandum.pdf; Paces Brook - Rent Roll (2019.08.22) - Techno.xls; Paces Brook - Rent Roll (2019.08.22).xlsx; Paces Brook - T12 Income Statement (2019.07.31) - techno.xls
Palmetto Place,,,,,,,,,,,,,,,,,,,,,,none,
Palmetto Pointe,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Symphony Other Income.xlsx
Parc,,,,,,,,,,,,,,,,,,,,,,none,
Parc at 1695,,,,,,,,,,,,,,,,,,,,,,none,
Parian Apartments,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,1989,,,,,,,,,,,,,,medium,"Parian Apts NC Tax Forecast (1.11.24).xls; Parian Apts NC Tax Forecast (1.11.24).xlsx; Parian, The - Rent Roll (2023.12.01).xlsx; Parian, The - T12 (2023.11).xlsx"
Park 2300,2300 Rent Break down ,Dallas,TX,,,"Dallas-Fort Worth-Arlington, TX",,,,,,Mixed,,,,,Mixed,,,Fee Gro,,medium,20190910131917_APINVExport - Park 2300 Rent Break down .xls
Park Ave,2018 Tax Bill,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2020,,,,,,,,,Garage,,,Fe,,medium,document.pdf; Park Ave - Codes .xls; Park Avenue - OM.pdf; Park Avenue - Phase I - 2018 Tax Bill.pdf; Park vs Royal.xlsx
Park Plaza,,,,,,,,,,,,,,,,,,,,,,none,
Park Vista,,,,,,,,,,,,,,,,,,,,,,none,
Park on Clairmont,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Reno preimums .xls
Parkside at Towncenter - Georgia,,,,,,,,,,,,,,,,,,,,,,none,
Parkview Greer,15 at 12.05.43 PM (2),Greer,SC,,,"Greenville-Anderson-Mauldin, SC",,,,,,mixed,,00,,,mixed,,,,,medium,(Geer SC) Expense Comp 10-26-21.pdf; Greer Rent roll - TS.xls; Parkview Rent Roll - v1 .xls; ParkViewGreer OM.pdf; WhatsApp Image 2021-10-15 at 12.05.43 PM (2).jpeg
Patterson Place,12 May 2020,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,345,,,GARAGE,,,Fee Insuran,,medium,20200709135112_IncomeAPINVExport - Solis Patterson Place .xls; Durham County Value Notice_2020.04.30_Solis Patterson Place.pdf; Proforma_2020.07_Solis Patterson Place.pdf; Solis Patterson - Demographic Details 070620.pdf; Solis Patterson - Rent Roll Detail 070620.xls
Pointe Grand Apartments,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,Concrete,,,,,Garage,,,Fee Insuran,,medium,Dawsonville.xls; Point Grand  Apartments Other Income.xlsx; Point Grand Dawsonville  Rent Roll.xls; Pointe Grand Apartments Dawsonville Pro-Forma vBullRealty - excel.xls; Pointe Grand Apartments Dawsonville Pro-Forma vBullRealty.xlsx
Portfolio,,,,,,,,,,,,,,,,,,,,,,none,Forena Luxury Living UW v4.xlsx; Linz Holly Springs UW v3.xlsx; Linz Luxury Living UW v4.xlsx; Parian Mooresville UW v4.xlsx; Solay Carnes Crossroads UW v4.xlsx
Portiva - Jacksonville,12 Month Trend 0518,,,,,,,,,,,,,2018,,,Garage,,,Fee M,,low,2017 Trim.pdf; Aged Receivables - 6-20-18.xlsx; Comparison.xls; Deal Summary & 6yr Projections using market rents .xls; Deal Summary.xls
Preserve at Godley,,,,,,,,,,,,,,2019,,,Garage,,,Fee,,low,Copy of Preserve at Godley Station T12 2019_08_31.xls; Copy of Preserve Rent Roll 2019_10_03 - techno.xls; Copy of Preserve Rent Roll 2019_10_03.xls; Historical_20191009171122 -  Preserve at Godley.xls
Preserve at Mill Creek,1400 Mall of Georgia Boulevard,Buford,GA,,,,,,,,,,,,,,,,,,,low,Preserve_at_Mill_Creek_OM.pdf
Preserve at Mountain,,,,,,,,,,,,,,,,,,,,,,none,Keltonwood Numbers .xlsx
Preston Pointe at windermere,,,,,,,,,,,,,,,,,,,,,,none,
Princeton Pac,,,,,,,,,,,,,,,,,,,,,,none,
Pringle Square,900 PRINGLE SQUARE ALTA Preliminary 08-05-19 (1),Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,SLab,,,,,Garage,,,Fee Insuran,,medium,20220330113742_IncomeAPINVExport.xls; 21-23546CH CMT_Title.pdf; DO05.900 PRINGLE SQUARE ALTA Preliminary 08-05-19 (1).pdf; Phase I ESA Report - Grier Site - Charter.pdf; Pringle Lease Trade-Out 033022.xlsx
Promenade at Carillon,,,,,,,,,,,,,,,,,,,,,,none,
Raleigh Exchange,,Raleigh,NC,,,,,,,,,,,,,,,,,,,low,Raleigh Exchange - 2024-12.pdf; RE_Rent+Roll+Detail+-+Excel - 2025-01-30T134711.114.xlsx
Raleigh Portfolio,,,,,,,,,,,,,,,,,,,,,,none,
Ravella Town Center,2022 ConcessionMatrix,,,,,,,,,,,,,,,,,,,,,none,RV 2022 ConcessionMatrix.pdf
Regatta at Lake Lynn,3000 Inland Trail,Raleigh,NC,,,,,,,,,,,2019,,,,,,FE,,medium,Historical_20190805115618 - Regatta .xls; RegatttaLakeLynn_OM.pdf; Rent Roll_2019.06.04_Regatta at Lake Lynn - techno.xls; Rent Roll_2019.06.04_Regatta at Lake Lynn.xlsx; T12_2019.05_Regatta at Lake Lynn    - techno.xls
Reserve at Bridford,1402 Bridford Parkway,Greensboro,NC,,,,,,,,,,,2019,,,Garage,,,Fe,,medium,Confidentiality Agreement 2019_Reserve at Bridford.pdf; Historical_20191112101442 - Reserve at Bridford.xls; RentRoll - 10_29_2019 - Reserve at Bridford - Techno.xls; RentRoll - 10_29_2019 - Reserve at Bridford.xlsx; Sep19 - IS - Reserve at Bridford - Techno .xls
Reserve at Magnolia,,,,,,,,,,,,,,,,,,,,,,none,
Residences at Shilo Crossings,3000 Dominion Ridge Circle,Morrisville,NC,,,,,,,,,,,318,,,GARAGE,,,,,medium,20210224141645_IncomeAPINVExport - Shiloh.xls; 20210224142114_IncomeAPINVExport.xls; Copy of Shiloh RR_ - 2-25-2021 - techno.xls; Copy of Shiloh RR_ - 2-25-2021.xls; Other Income - Shiloh.xls
Retreat at Johns Creek,,,,,,,,,,,,,,,,,,,,,,none,
Richmond Row,23 modified,,,,,,,,,,,,,,,,GARAGE,,,,,none,Rent Roll - 5.15.23 - Modified.xls; Rent Roll - 5.15.23.xls; Richmond Row Financials - Feb 2023.xlsx; Richmond Row MMR 1.2.2023 .xlsx; Richmond Row MMR 10.3.22.xlsx
Rivera At Seaside,,,,,,,,,,,,,,2017,,,garage,,,Intrusi,,low,Riviera at Seaside - Rent Roll (2017.12.31).xls; Riviera at Seaside - T12 (2017.12).xls
Riverbend,12 Riverbend Apts 9.30.2020,Charlotte,NC,,,,,,,,,,,266,,,,,,Fee Insuran,,medium,Rent Roll (REDIQ)_2020.10.12_Riverbend Village.xls; Rent Roll (REDIQ)_2020.10.12_Riverbend Village.xlsx; Riverbend -Rent Roll.pdf; Riverbend One Line Rent Roll.xlsx; Riverbend Tax Calculation .xls
Riverbend Apartments,,,,,,,,,,,,,,,,,,,,,,none,HUD Note_Riverbend Apartments.pdf; Personnel_2020.11.17_Riverbend.pdf; Rent Roll (One Line)_2020.11.18_Riverbend.pdf; Rent Roll (One Line)_2020.11.18_Riverbend.xlsx; Rent Roll_2020.11.17_Riverbend.pdf
Rivertree,5959 Bandera Springs Place,Riverview,FL,,,,,,,,,Mixed,,2018,,,Mixed,,,FE,,medium,Copy of RFQ-Habitational - Rivertree.xlsx; Copy of Rivertree - T-12 Operating Statement (through Nov 17) techno.xls; Projections.xls; Rivertree - OM (1).pdf; Rivertree - Rent Roll_1.8.18.xls
SUR Southside,21 SUR Rent Roll with Lease Charges - techno,,,,,,,,,,,,,2021,,,Garage,,,FE,,low,01.10.21 SUR Rent Roll with Lease Charges - techno.xls; 01.10.21 SUR Rent Roll with Lease Charges.xlsx; 01.19.21 SUR Concession Burn Off.xls; 11.20 12 mo Statement_69198.xls
Santori,,,,,,,,,,,,Concrete,,330,,,Garage,,,Fe,,low,Satori Frisco Cages.xls; Satori Frisco Garages.xls; Satori Frisco Rent Roll.xls; Satori Frisco Storages.xls; Satori Frisco T-12.xls
